Bild;DiceScore
N2DH-GOWT1/img/t01.tif;0.5705017182130584
N2DH-GOWT1/img/t21.tif;0.32258217915948406
N2DH-GOWT1/img/t31.tif;0.568002229254991
N2DH-GOWT1/img/t39.tif;0.5830196570472606
N2DH-GOWT1/img/t52.tif;0.6502180828858916
N2DH-GOWT1/img/t72.tif;0.588161094224924
N2DL-HeLa/img/t13.tif;0.07436694813419911
N2DL-HeLa/img/t52.tif;0.12357364181457739
N2DL-HeLa/img/t75.tif;0.4032134810257176
N2DL-HeLa/img/t79.tif;0.4112803223656655
NIH3T3/img/dna-0.png;NA
NIH3T3/img/dna-1.png;NA
NIH3T3/img/dna-26.png;NA
NIH3T3/img/dna-27.png;NA
NIH3T3/img/dna-28.png;NA
NIH3T3/img/dna-29.png;NA
NIH3T3/img/dna-30.png;NA
NIH3T3/img/dna-31.png;NA
NIH3T3/img/dna-32.png;NA
NIH3T3/img/dna-33.png;NA
NIH3T3/img/dna-37.png;NA
NIH3T3/img/dna-40.png;NA
NIH3T3/img/dna-42.png;NA
NIH3T3/img/dna-44.png;NA
NIH3T3/img/dna-45.png;NA
NIH3T3/img/dna-46.png;NA
NIH3T3/img/dna-47.png;NA
NIH3T3/img/dna-49.png;NA
