Dataset,Bild,BestRadius,DiceScore
N2DL-HeLa,t75.tif,50,0.761651372931549
N2DL-HeLa,t13.tif,700,0.6624277974298124
N2DL-HeLa,t52.tif,200,0.6312841776335557
N2DL-HeLa,t79.tif,50,0.7628610681382623
NIH3T3,dna-0.png,550,0.9073704983164835
NIH3T3,dna-30.png,100,0.7938886605318679
NIH3T3,dna-31.png,100,0.8269128968779129
NIH3T3,dna-1.png,500,0.8999825160346366
NIH3T3,dna-33.png,150,0.8005219785130763
NIH3T3,dna-27.png,100,0.8162679034517071
NIH3T3,dna-26.png,150,0.8664003731501505
NIH3T3,dna-32.png,100,0.6452975202381039
NIH3T3,dna-37.png,100,0.6624554015324325
NIH3T3,dna-47.png,150,0.751785886489574
NIH3T3,dna-46.png,150,0.7486256755236399
NIH3T3,dna-44.png,150,0.8374809181656119
NIH3T3,dna-45.png,150,0.8660498597487741
NIH3T3,dna-40.png,200,0.836008141203163
NIH3T3,dna-42.png,150,0.733390257786452
NIH3T3,dna-49.png,150,0.84954939932207
NIH3T3,dna-28.png,250,0.8376305870111646
NIH3T3,dna-29.png,150,0.7591891066623409
N2DH-GOWT1,t72.tif,100,0.6865300634431017
N2DH-GOWT1,t39.tif,450,0.6174445294567712
N2DH-GOWT1,t01.tif,350,0.6330951511674403
N2DH-GOWT1,t31.tif,450,0.617866937150156
N2DH-GOWT1,t21.tif,550,0.36778610267717987
N2DH-GOWT1,t52.tif,900,0.6502394239423942
